Language,Japanese,Commentary
camel,ラクダ,"ラクダ. 駱駝(cf. dromedaryまたはArabian camel,ヒトコブラクダ. bactrian camelフタコブラクダ)"
cameo,カメオ,カメオ(瑪瑙･大理石･貝殻などに横顔を浮き彫りにした装身具)
Camii,ジャミイ,"ジャーミー,イスラム教の寺院(Mosque)"
campy,同性愛の,(男が)なよなよした. 同性愛の
canal,運河,運河
candy,キャンディ,キャンデー
canna,カンナ,"カンナ. カンナ科の,赤や黄の鮮やかな大柄の花をつける一群. 球根で殖やす"
canny,抜け目のない,抜け目のない
canoe,カヌー,カヌー. (canoeing. カヌー競技)
canon,カノン,カノン. 規範. 法規. 規律. (Canon日本のカメラメーカー名). (cf. cannon大砲)
canto,カント,小説などの編･章.
caper,ケイパー,はね回る. 戯れる. セイヨウフウチョウボク
caput,頭,頭. 頭部
carat,カラット,カラット(宝石の重量単位=200mg)= karat
Carey,キャリー,キャリー(人名)
cargo,貨物,船荷
Carib,カリブ族,カリブ族(西インド諸島の原住民). カリブ語.(cf.caribou北米のトナカイ)
carol,キャロル,賛美歌. 喜びの歌. キャロル
carry,キャリー,を運ぶ
carte,献立表,アラカルト
carve,彫る,"切り分ける. 刻む. 彫刻する. (cf. curb, curve,carve,carb)"
caste,カースト,階級. (社会的)地位. カースト. 階級制
catch,キャッチ,をつかまえる. (病気)にかかる. を捕らえる
cater,応じる,料理. 娯楽を提供する. 供する. 満たす
catty,猫のような,意地悪な
caulk,コー,"穴を塞ぐ. コーキングする. (cf. corkコルク. Coke=Coca cola,コークス. caulkこーキングする). "
cause,原因,原因. を引き起こす
cavil,難癖をつける,けちをつける. あら探しをする
cease,やめる,しなくなる. をやめる. 終わる
cedar,ヒマラヤスギ,"ヒマラヤスギ. (cedarは日本のスギとは違い,ヒマラヤ杉などマツ科のもの"
celeb,セレブ,有名人. セレブ
cello,チェロ,チェロ
CFEOM,CFEOM,遺伝子の一種
chafe,擦り切れ,こすって暖める. すりむく. いらだたせる
chaff,チャフ,もみがら. つまらないもの. ひやかす
Chaga,チャガ族,chaga mushroomカバノアナタケ. 極寒の地で白樺等に生えるキノコ. 薬用　他
chain,チェーン,鎖
chair,椅子,いす
chalk,チョーク,チョーク. 白亜. (cf. choke. 窒息させる)
champ,チャンプ,をむしゃむしゃ食う(chomp)
Chang,揚子江,"The Yangtze (Yangzi) River or the Chang Jiang 長江(揚子江). 中国語の拼音(pinyin)式表示. チベットを水源に中国大陸を流れ,東シナ海へ注ぐ世界3位の長さ"
chant,聖歌,詠唱する. シュプレヒコール
chaos,混沌,混乱状態
chard,フダンソウ,チャード. フダンソウ. 茎が白く葉は大きい･食用
charm,魅力,をうっとりさせる. 魅力的である. 魅力. 魔力. 護符. お守り
chart,チャート,チャート
chase,チェイス,を追う. を追跡する. を追い払う. 追撃. 狩り
chasm,キャズム,深い割れ目. 隙間. みぞ. 隔たり. 欠陥
Chaus,Chaus,"ファッションブランド名.  2. 山猫(ジャングルキャット,チャウス)"
cheap,安い,安い. 安っぽい
cheat,カンニング,をだます. ごまかす. 浮気する. 詐取. カンニング. だますこと. ごまかし. 詐欺師. 不正行為
check,チェック,チェックする. 急に止める. を抑制する. を調査する. 一致する. 停止. 妨害. 検査. 照合. 小切手. 勘定書
cheek,頬,ほお
cheep,甲高い声で言う,ヒヨコの鳴き声. ピヨピヨ
cheer,歓声,声援. を励ます
chess,チェス,チェス
chest,胸,収納箱. 胸郭. 金庫. たんす. 肺
Chevy,シェビー,"シェビー(ゼネラルモーターズの自動車,シボレーChevroletの愛称). 2. 駆け回る. 急かす. しつこく悩ます"
chewy,腰のある,十分にかむ必要のある
chick,ひよこ,ヒヨコ. (俗)女の子. (とくに)魅力的ではつらつとしている女の子
chide,たしなめる,たしなめる. (子どもなど)を叱る. 小言を言う
chief,チーフ,重要な. 係長
child,子供,子ども. (複数形はchidren)
Chile,チリ,チリ共和国 Republic of Chile
chili,チリ,アメリカ産トウガラシ
chill,チル,冷たい. 寒気. 寒さ. 冷感. 冷える
chime,チャイム,調和(する). チャイム
chimp,チンプ,chimpanzeeチンパンジー
China,中国,中華人民共和国 People's Republic of China
chink,割れ目,裂け目. 割れ目. 狭いすき間. すき間からもれる光線. (法律などの)抜け穴. (すき間)を詰める. 2. カチン(ガラスや金属の触れ合う音). チリンと鳴る. 3. Chink(俗)中国人
chino,チノ,"あやおりの粗い綿織物(=チノ), チノ製のズボン(チノパンツ). 2. (Chino)中国の(=Sino)"
chirp,チャープ,チッチッと鳴く. チュッチュッ. チーチー. 鳥の鳴き声
chive,チャイブ,エゾネギ
chock,チョック,留め木. くさび(で留める)
choir,合唱団,聖歌隊. 合唱団. chorus. 合唱隊
choke,チョーク,窒息する. を絞殺する. 窒息させる. の息の根を止める. の成長を阻止する. 閉塞. チョーク. (cf. chalk. チョーク)
cholo,男らしい,男らしい
chomp,ムシャムシャ食べる,をむしゃむしゃ食う(champ)
chord,和音,"感情. 心の琴線. 音楽関連のコード. (cf. cord. ひも,電源コード. code. 法典,規範,記号,暗号,コード化(cf. encode,decode). chord. 弦,和音など音楽関連,感情)"
chore,雑用,家庭での雑用. 雑用. 雑役
Chris,クリス,"クリス. Christopher,Christiana,Christina,Christine等の愛称"
CHRNA,CHRNA,人の遺伝子名
chuck,チャック,軽くたたく. 捨てる. 放棄する
chump,ばか,太い木切れ. 厚い肉の切り身. (俗)ばか
chunk,チャンク,(チーズ･パン･肉片･木材などの)大きいかたまり. 厚切. 大量. たくさん. 厚切り. 大きな塊
churn,チャーン,撹乳器. 激動. かき回す. はね上げる. むかつく. 沸き返る. をわき返らせる
chute,シュート,(ʃúːt). 落とし樋. (郵便投下装置.a letter chute レターシュート). 急流. 2.落下傘(=parachute). (cf.shoot)
cider,サイダー,リンゴ酒(日本語で言う｢サイダー｣の意味はない)
cigar,シガー,葉巻たばこ. たばこ
cinch,楽勝,(俗)確かなこと. 朝飯前のこと. 確実なこと. やさしいこと
cinco,シンコ,スペイン語で5の意
Cindy,シンディ,シンディ(人名)
circa,およそ,"(sˈɚːkə)(年代･日付の前に用い)およそ(略c, ca). He was born c. 1600. "
Cisco,シスコ社,"シスコシステムズ. カリフォルニア州サンノゼに本社を置く,世界最大のコンピュータネットワーク機器開発会社"
CITES,CITES,The Convention on International Trade in Endangered Species of Wild Fauna and Flora. 絶滅危惧のある野生動植物の種の国際取引に関する条約
civet,ジャコウネコ,ジャコウねこ(civet cat)から採る香料
civic,市民の,市民の. 市の
civil,市民の,市民の. ていねいな. 礼儀正しい. 国家の. 文明の
clack,クラック,かたっという音. (crackひび. clackカタッという音)
claim,主張する,主張する. (根拠なしに)言い張る. (当然の権利として)要求する. 主張. 要求
clamp,クランプ,とめ金. 留め金. 締め具
clang,打ち鳴らす,カラーン. ガランと鳴る音. 金属がぶつかる音
clank,かちゃんと鳴る音,かちゃんと鳴る. がちゃがちゃ鳴る. ガチャーン. 剣がぶつかる音
Clara,クララ,クララ (人名)
Clark,クラーク,クラーク (人名)
clash,衝突,"衝突(する). ガチャッ(音). (色彩の点で)調和しない. (cf. clash衝突する,ガチャッ(音). crash衝突する,(衝突し)壊れる･壊す. crush押しつぶす)"
clasp,しっかり握る,をしっかり握る. 留め金. 握手. 把握. を留める. (cf. grasp. clasp. seize. clench. grip. clutch)
class,クラス,クラス. 授業. クラスの生徒たち. 階級. (cf. crass)
Claus,クラウス,Santa Claus サンタクロース
clean,クリーン,きれいな. 清潔な
clear,クリア,晴れた. 明るい. 澄んだ. 透明な. 明白な. 純粋な. 全くの. 証明する. 疑いを晴らす. 片付ける. 快晴. 晴れ
cleat,クリート,耳形綱止め. 電線押え. クリート. 靴の底がね
cleft,割れ目,裂け目. 分裂. cleaveの過去･過去分詞. 裂けた. 割った
clerk,店員,事務員
click,クリック,かちりと音がする. 冗談などがピンと来る. わかる. カチ. パチリ. カチンという音. (cf. crickは寝違える)
cliff,崖,がけ. 崖
climb,登る,登る. 昇る. 上る
clime,clime,地方. 国土(from northern climes. 北の国から). 気候. (clime地方･気候. crime犯罪)
cline,クライン,クライン. 連続変異現象. 中間にさまざまな異種がある段階的な変異の仕方
cling,しがみつく,くっついて離れない. 固守する. くっつく
clink,かちんという音,カチン. かちんという音. コップがぶつかる音
cloak,マント,覆い隠す. マント. 覆い. 口実. 覆い隠すもの
clock,クロック,掛時計. (cf. watch腕時計)
clone,クローン,"クローンの. 無性的に繁殖させる. (cf. crone. しわくちゃ婆. クローン病Crohn's disease,CD)"
close,閉じる,を閉める
cloth,布,ラシャ. 布. 織物. 布地. 幕. 服地
cloud,雲,雲
clout,影響力,権力. 影響力. 勢力. 政治的影響力. 一殴り. (野球の)ヒット. 強打. (口)殴る. 打つ
clove,クローブ,裂けた. ちょうじ
clown,ピエロ,おどける. からかう. 道化師. 道化役者. 田舎者
cluck,鳴き声,鳴き声
clued,clued,知っている. (の)事情に明るい(up. about. on ～)
clump,塊,群がらせる. かたまり. 木立ち. (cf. crampけいれん)
clunk,一撃,(金属)ガチャン(ガーン)という音. 強打. 一撃
CNNFN,CNN Finantial,CNN Finantial
coach,コー,大型四輪馬車. 客車. 長距離バス
coast,海岸,沿岸. 海岸. 順調に進む. 海岸に沿って航行する. 惰性で動く
cobra,コブラ,コブラ
cocky,生意気な,気取った. うぬぼれた
cocoa,ココア,ココア
coded,コー,コード化された
coder,符号器,コード化するソフト. (反. decoder)
codex,写本,(古典や聖書の)古写本
codon,コドン,"コドン. 核酸の塩基配列がタンパク質を構成するアミノ酸配列へ生体内で翻訳されるときの,各アミノ酸に対応する3つの塩基配列のこと"
Cohen,コー,コーエン(人名)
colic,疝痛(せんつう),(the colic)(医学). 疝痛(せんつう). さしこみ.
Colin,コリン,コリン(人名)
colon,コロン,コロン(:). 2. 植民農業者. 大農園所有者. 3. コロン(コスタリカなどの通貨単位). 4. 結腸(盲腸・直腸をのぞいた大腸の大部分)
color,色,色. 色のついた. 色をつける. (cf. collar. 襟)
combo,コンボ,コンボ(小編成のジャズバンド)
comer,コー,将来有望な人(物)
comet,彗星,(天体)すい星. 彗星. ほうき星
comfy,快適な,(俗)comfortable快適な
comic,コミック,喜劇の. こっけいな. マンガ(の). 漫画
comin,やって来る,"来るべき,次の(=coming)"
comma,コンマ,コンマ
conch,巻き貝,ホラガイ. 巻き貝(の貝殻). 丸屋根. 半円形屋根. オレンジを帯びたピンク. まじめ学生
condo,マンション,分譲マンション
conga,コンガ,コンガ. コンガの音楽. コンガを踊る
Congo,コンゴ,コンゴ共和国 Republic of Congo
conte,コンテ,(仏語)コンテ. デッサン. 素描用のクレヨン. 2. コント. 風刺や皮肉に富んだ小話. 寸劇
copse,雑木林,雑木林. 低林. 矮林. 低質林
coral,サンゴ,珊瑚の
Cordy,コー,コーディー(人名)
corny,陳腐な,つまらない. 古くさい. ださい. 穀物の
corps,軍団,軍団. 部隊. 兵団. (cf. corpse死体)
corso,大通り,大通り
Corus,コー,コーラス. ロンドンに本拠を置く鉄鋼メーカーで2007年インドのタタ･スチールの一部門となった. 他ホテルチェーンなど
Costa,コスタ,コスタ. スペイン語で海岸の意.
couch,カウチ,うずくまる. 横たわる. 長椅子. ベッド兼用のソファー
cough,咳,咳をする. せき. 咳
could,可能性,できただろう. canの過去形
count,カウント,重要である. とみなす. 計算. 伯爵
coupe,クーペ,クーペ(2ドアの乗用車)
court,裁判所,裁判所. 宮廷. 法廷. 2. 中庭. 3. (女性に)言い寄る. 求愛する
coven,魔女の集まり,魔女の集まり
cover,カバー,覆う. カバーをかける. 償う
covet,切望する,切望する. むやみにほしがる. むさぼる
covey,コヴィー,(母鳥と群居する)一群
cowed,cowed,脅されて
cower,ちぢこまる,畏縮する. ちぢこまる. すくむ. かがむ
coyly,恥ずかしそうに,はにかんで
crack,亀裂,にひびを入れる. 割る. 神経が参る. コカイン. パリッ. ピシッ. 雷の音. (crackひび. clackカタッという音)
craft,クラフト,クラフト. 航空機. 技術. 手技
Craig,クレイグ,クレイグ (人名)
cramp,足が攣る(つる),足が攣る(つる). こむら返り. He had his right leg cramp. 2. 束縛する. かすがい. 締め具. (cf. clump群がらせる. かたまり)
crane,ツル,ツル. 鶴. 2. クレーン
crank,クランク,変人
crape,ちりめん,クレープ. クレープの喪章. ちりめん. 縮らせる. crape myrtle百日紅(サルスベリ)
